,loss,mae,mse,val_loss,val_mae,val_mse
62,13.22422276082493,3.0963678,13.224222,8.033295631408691,2.7373831,9.764834
63,12.482846869599252,2.9930465,12.482847,11.358925342559814,2.7293437,9.618349
64,11.705519293508832,2.8794057,11.705522,9.118799686431885,2.6987343,9.4289465
65,11.084945238535367,2.8036966,11.084945,8.980835914611816,2.4306684,8.000632
66,10.557760694197245,2.7118561,10.557761,9.075684309005737,2.536707,8.405343
67,9.80376639134354,2.61938,9.803763,7.960754632949829,2.4602666,7.949716
68,9.240298541765364,2.532287,9.240297,7.6133716106414795,2.5389338,8.585991
69,8.698613816073962,2.4522414,8.698613,6.16029953956604,2.2197905,6.6036177
70,8.283904426864215,2.3863056,8.283903,6.463669538497925,2.2011287,6.479117
71,7.865119804229055,2.3064053,7.86512,7.10377049446106,2.0910425,5.892852
72,7.352100152581457,2.2345243,7.3521,4.595828652381897,1.8394454,5.4354916
73,6.944057275496778,2.1568754,6.944057,4.768669605255127,1.7782997,5.069064
74,6.530305406167393,2.0891097,6.5303063,4.374060392379761,1.7500054,4.508972
75,6.297446038987902,2.0397258,6.297445,5.067537546157837,1.95878,5.248007
76,6.104762260994268,2.011221,6.10476,3.2812421321868896,1.6708927,4.046745
77,5.690545296976491,1.9395627,5.690545,4.002197265625,1.6051522,3.8796468
78,5.439351539526667,1.8913031,5.439352,4.703923225402832,1.8956991,4.8941708
79,5.279463675523561,1.8623627,5.2794633,3.2627487182617188,1.6024224,3.5850465
80,5.029623323016697,1.8117565,5.0296245,3.0430798530578613,1.6560576,3.786873
81,4.760186242915335,1.7622466,4.760186,2.9376089572906494,1.4580204,3.12679
82,4.510003240749477,1.7248994,4.5100026,3.958856225013733,1.4680343,3.773986
83,4.490910793462443,1.7058246,4.490911,2.920168399810791,1.3763084,2.8310895
84,4.30434669382752,1.6811243,4.3043466,2.4266149401664734,1.3255976,2.8288422
85,4.132009565948494,1.635692,4.1320114,2.765707492828369,1.3382266,2.650948
86,4.020974083788811,1.6197199,4.0209727,2.6655845642089844,1.4837412,3.0599225
87,3.9149088602927,1.5905896,3.9149091,4.112014174461365,1.8004917,4.353984
88,3.7801061727934413,1.5629628,3.780106,2.3381937742233276,1.3312162,2.5356944
89,3.689529260354383,1.5431272,3.6895292,2.7550907135009766,1.2180445,2.503049
90,3.5752586443272847,1.5096762,3.5752583,2.139549493789673,1.3718845,2.6520412
91,3.4750212320377902,1.497646,3.4750223,3.1906654834747314,1.5473311,3.2419057
92,3.366092460614348,1.4613736,3.366092,3.5299973487854004,1.5441053,3.2411938
93,3.425318227459987,1.484796,3.425318,2.3509613275527954,1.1471272,2.2402742
94,3.252230751490782,1.4472556,3.2522318,3.3202314376831055,1.541451,3.190132
95,3.202707262680171,1.4367946,3.2027082,1.633955717086792,1.0828167,1.8872747
96,3.2177654480532047,1.428521,3.217765,2.7104923725128174,1.1862286,2.07377
97,3.1174922802500307,1.4127712,3.1174915,1.759557843208313,1.2202471,2.1681411
98,3.037901761926829,1.3923947,3.0379019,3.5336244106292725,1.4478365,3.071275
99,3.0148673453146504,1.3879501,3.0148673,1.9586070775985718,1.1360346,1.9594733
100,2.9724122022115993,1.3785527,2.9724128,1.6901971101760864,1.0968045,1.8403772
101,2.9500791512666242,1.3741373,2.950079,9.431626796722412,2.414412,8.171305
